row_id	orders	rider	cost
5060	756,1008	961	3.8577481481481484
7566	149	208	3.7965000000000004
8249	907,950,1165	2987	17.670000000000002
8678	421	1000	4.3300555555555551
10966	320,1177	1594	9.121211111111112
16187	621	1431	0.88599999999999923
17429	117,616	1756	7.096000000000001
20486	233	2397	0.43098666666666663
22605	681	1102	1.4580000000000002
23425	828	1317	22.282
30283	674,896	608	3.4540000000000002
30844	1033	2985	8.1720000000000006
34013	389	3193	7.4500555555555437
34418	518,841	3332	3.3680000000000008
35454	660	2237	5.2960000000000003
35495	19,137,381	1283	17.144500000000001
37506	1140	2535	3.4219999999999988
37984	1	2694	4.5420000000000007
39073	425,639	1814	9.0500000000000007
39540	296	2769	1.6739999999999995
39583	300	859	3.0734777777777778
42480	799	2753	0.27400000000000002
46873	435	1592	18.614000000000001
52345	257	2809	17.256
53923	576	746	3.6335777777777767
54888	747	427	0.96399999999999952
57515	56	3261	1.0999999999999996
59637	457	2575	8.7560000000000002
63822	1229	3199	2.2839999999999998
64806	173	3051	13.090000000000002
64836	112,218	3420	7.2620000000000005
65209	245	3134	10.896000000000001
67212	95,810	2762	11.246688888888889
74296	763	2965	13.125999999999999
77133	510,589,888	1921	14.776
78727	101,249	2076	9.6180000000000021
85217	411	3158	0.3620000000000001
86788	684	403	5.362000000000001
86832	691	3325	2.7740444444444439
88416	998	2833	2.2867759971782116
92896	609	1932	5.152000000000001
93497	724	1866	0.87600000000000033
94459	181,736,757,1123	725	4.5500000000000007
95238	1060	3472	0.0039999999999995595
97013	152	453	7.3900000000000006
100323	373,606	2152	5.4902444444444463
100476	814	2266	6.5
108756	1041	3281	1.4144444444444446
110582	35,1134	965	8.2379999999999995
113449	680	2369	9.8739999999999988
117433	202	172	6.2940000000000005
120906	105,280,572	1263	11.41
121669	996	772	10.062855555555554
122478	936,947,1183	3286	6.9585555555555585
127557	1021	1243	4.4320000000000013
128634	1212	394	2.7420000000000009
129676	170	1383	1.9838222222222219
130025	263	2972	3.0500000000000003
135492	1213	2620	0.4659999999999993
136551	852,1143	2495	8.2899999999999991
137255	328	7	7.7599999999999998
141257	1152	817	3.3547222222222235
141477	1205	2812	1.1899999999999977
144855	601	600	17.26551111111111
146562	926	2203	3.8680000000000008
152552	815	1914	11.778
155068	72	495	5.7084000000000001
155575	138	2488	0.88599999999999923
155783	151	1676	3.7180000000000035
156765	134,340	2589	9.5239999999999991
157632	549	727	1.7759999999999998
158870	772	165	1.9860000000000007
163137	380	242	2.9567444444444444
163483	433	2528	1.6119999999999999
163898	497	1635	2.2028444444444455
173897	1141	3205	8.2800000000000011
174163	398,1048	3220	2.2600000000000016
179530	1024	2846	4.8280000000000021
182274	352	2122	4.0969999999999995
188207	18,581,1098	978	18.379999999999999
188209	268	1569	4.176000000000001
188249	275	2423	0.21061111111111125
188280	283	997	0.032000000000000028
191932	399,762,824	609	15.830100000000002
193457	81	2605	3.4080213675213678
194687	612,925	715	7.6080000000000014
200056	36	1741	0.87800000000000011
202357	534	1804	4.2643999999999993
204020	883	1809	0.28122345317041875
206657	118	1054	0.42399999999999993
217119	986	2438	9.3280000000000012
217232	1006	2169	9.5776000000000003
217302	750,1189	2043	13.382
224710	1162	881	3.9715000000000003
229666	855	380	0.98653784355179719
234977	632	1044	17.866
236555	893	2060	6.3719999999999999
240219	387	1034	0.1140000000000001
