row_id	orders	rider	cost
479	81	3146	13.480000000000002
2513	464	901	3.7420000000000009
4057	103,564	955	3.7708592592592591
6057	1103	203	3.7965000000000004
7103	68	991	3.7600555555555548
8613	94,898	1581	9.1065444444444452
9193	459,1212	710	0.8184111111111102
11244	53,738,920	602	5.6968444444444444
14295	211	2290	2.3420000000000005
17348	803	3092	18.056000000000001
19004	1138	1300	22.282
25680	1163	1560	3.0941666666666658
27200	215	2686	1.3697382716049384
30897	915	2512	3.4219999999999988
31290	986	2685	4.5420000000000007
32610	1205	2758	1.6739999999999995
34688	377	2742	0.27400000000000002
38809	1118	1580	18.614000000000001
39601	144,467,1073,1188	3236	10.450894332587621
41766	434	958	5.1880000000000015
43205	724	2796	17.256
43566	792	2739	0.55799999999999983
44680	1007	1780	3.3281318065016081
45525	1132	419	0.96399999999999952
48397	604,1065	3396	2.2700000000000005
52843	18	3188	2.2839999999999998
54114	252	778	13.728400000000001
56873	811	1816	2.3700000000000006
61187	424	2025	13.976000000000003
64645	365,1030	2061	9.6180000000000021
68521	575	3466	0.26760000000000111
71415	1117	398	5.362000000000001
72820	115	2819	2.2867759971782116
75390	609	2501	10.218000000000002
78840	1218	3454	0.0039999999999995595
80509	296	445	7.3900000000000006
81249	428	212	4.088044444444443
82079	308,663,1247	1943	8.95441111111111
89302	722	3260	1.4144444444444446
93105	199	1840	12.877999999999998
93577	321,1232	1809	3.9854777777777786
96082	799	657	4.661999999999999
97057	972	2801	1.2589000000000004
98933	113,161,1001	1249	11.41
103409	959	2094	2.9686777777777777
105515	93	389	2.7420000000000009
106776	324	2961	3.0500000000000003
107356	432	1691	20.802
108643	159,635,1101	1380	3.3460000000000001
109695	858	1082	1.9759999999999991
111951	425,860	2477	8.2899999999999991
112606	157	7	7.7599999999999998
113062	242,487	1275	6.9460111111111109
114272	477	390	1.5160111111111116
115889	804	3183	2.9739777777777761
117759	1152	733	0.20199999999999996
118607	56	588	17.26551111111111
119622	233	542	0.10200000000000031
122416	796	856	18.606000000000002
124587	1214	2374	17.957999999999998
126307	735,990,992	1104	4.2980000000000009
126849	395	484	5.7084000000000001
127196	463	2471	0.88599999999999923
127321	497	1664	3.7180000000000035
128240	27,1009	1648	10.412000000000001
129022	784	189	1.8640000000000001
129083	794	711	1.7759999999999998
130074	984	2834	0.64800000000000146
133494	384	240	2.9567444444444444
133824	433	2506	1.6119999999999999
138218	310,375	3111	18.479877777777777
140719	520	3179	0.21425555555555481
150579	304,678	3312	5.3559999999999981
152228	867,941	3091	15.907999999999999
153971	651	1556	4.176000000000001
