case,total_cost,reference_cost,gap_pct,experiment,seed,runtime_sec,total_search_budget_sec,formal_runs_for_case,source_sha256
case1,5220.452479508326,5213.8791,0.12607464389280398,round2,7,180.103915229,780.0,4,108c06f03298e6996cc0923355575117d8b12de14c8c460876d4ca0cedfdde89
case2,5727.019949276975,5723.3037,0.0649318902467888,directed,11,180.008703808,780.0,4,ab8bca8a5dc2017faca2783c765d8f2d2370cca2e68a767b19dbe2a6a01524f7
case3,5715.564204046706,5714.9039,0.01155407086907978,round1,1,120.020377447,780.0,4,850a17a23bb19010b39cff406b925d18abe30d3a0a2fc108f9806dffdd84af37
case4,5864.845233433353,5857.917,0.11827128027510625,round1,1,120.012099507,780.0,4,850a17a23bb19010b39cff406b925d18abe30d3a0a2fc108f9806dffdd84af37
case5,1157.0484107810234,1157.0484,9.317694615873506e-07,round1,1,121.661669672,300.0,2,850a17a23bb19010b39cff406b925d18abe30d3a0a2fc108f9806dffdd84af37
case6,519.3340433295718,519.334,8.343295809787321e-06,round1,1,121.110855928,300.0,2,850a17a23bb19010b39cff406b925d18abe30d3a0a2fc108f9806dffdd84af37
case7,641.2690522303176,641.2691,-7.449241257173611e-06,round1,1,120.017241343,300.0,2,850a17a23bb19010b39cff406b925d18abe30d3a0a2fc108f9806dffdd84af37
case8,445.3444356769703,445.3444,8.011096652715821e-06,round1,1,120.756783256,300.0,2,850a17a23bb19010b39cff406b925d18abe30d3a0a2fc108f9806dffdd84af37
case9,513.4898248474017,513.4898,4.83892801383945e-06,round1,1,122.328102209,300.0,2,850a17a23bb19010b39cff406b925d18abe30d3a0a2fc108f9806dffdd84af37
