case,repeat,seed,mode,feasible,returncode,total_cost,reference_cost,gap_pct,runtime_sec,first_feasible_sec,best_found_sec,iterations,nodes,lower_bound,audit_passed,global_gap_bound_pct,process_wall_sec
case1.tsv,1,1,descent,True,0,5225.17249560553,5213.8791,0.21660255999280675,120.041857677,8.93950025,85.587552197,2196,853307,5147.789182659629,True,1.5032339165435227,120.39269835688174
case2.tsv,1,1,descent,True,0,5729.794994999166,5723.3037,0.11341867109315729,120.48513408,11.177256905,71.778258986,1921,1035773,5640.8270619852065,True,1.5772143346414191,121.20353623479605
case3.tsv,1,1,descent,True,0,5717.779358381704,5714.9039,0.05031507846884331,120.007730351,10.284718291,43.617154061,3202,1307252,5634.789916494827,True,1.4728045431460446,120.07602818123996
case4.tsv,1,1,descent,True,0,5874.0208653621885,5857.917,0.2749077080161477,120.161486632,8.370442811,94.560300495,3211,1507890,5778.458225598793,True,1.6537740004774593,121.06480110622942
case5.tsv,1,1,descent,True,0,1157.0484107810234,1157.0484,9.317694615873506e-07,120.052074253,12.940076386,32.92598833,1035,342912,1143.3800875614268,True,1.1954312803145184,120.1902750376612
case6.tsv,1,1,descent,True,0,519.3340433295718,519.334,8.343295809787321e-06,121.098361831,12.798355592,32.072480646,691,496359,513.5672557292775,True,1.1228884894745939,121.46814173646271
case7.tsv,1,1,descent,True,0,641.2690522303176,641.2691,-7.449241257173611e-06,120.217129229,4.804523444,10.008501328,1610,831174,632.8328632836801,True,1.3330832572227225,120.26184132881463
case8.tsv,1,1,descent,True,0,445.3444356769703,445.3444,8.011096652715821e-06,120.643555447,9.409788066,20.591453603,1203,411369,441.21794317527383,True,0.9352503826113745,120.72152282856405
case9.tsv,1,1,descent,True,0,513.4898248474017,513.4898,4.83892801383945e-06,120.075541393,7.386244663,44.004909144,708,432319,506.4222188141298,True,1.3955955664468611,121.13979029096663
