DATA rows=2995777 orders=1261 riders=3518 bundles=284650 load_sec=2.84584
BEST it=90 cost=6071.7005782882 artificial=0 nodes=229628 sec=14.258733757
BEST it=91 cost=6062.4608671771 artificial=0 nodes=229640 sec=14.263246019
BEST it=92 cost=6058.923156066 artificial=0 nodes=229660 sec=14.26855494
BEST it=93 cost=6057.9406960049 artificial=0 nodes=229927 sec=14.285251238
BEST it=94 cost=6050.7062495196 artificial=0 nodes=233928 sec=14.79639127
BEST it=96 cost=6020.9409495196 artificial=0 nodes=238954 sec=15.005856166
BEST it=97 cost=6019.5502848938 artificial=0 nodes=239931 sec=15.297361099
BEST it=98 cost=6012.4627182271 artificial=0 nodes=240172 sec=15.601287938
BEST it=99 cost=6004.2308771387 artificial=0 nodes=244173 sec=15.968754576
BEST it=102 cost=5994.1289993609 artificial=0 nodes=244277 sec=15.981033684
BEST it=104 cost=5989.9138660276 artificial=0 nodes=244305 sec=15.993012606
BEST it=105 cost=5988.6655748398 artificial=0 nodes=248306 sec=16.530265607
BEST it=106 cost=5979.8314081732 artificial=0 nodes=248315 sec=16.536222454
BEST it=107 cost=5977.4496303954 artificial=0 nodes=248395 sec=16.538675002
BEST it=108 cost=5968.1361748398 artificial=0 nodes=248400 sec=16.541570643
BEST it=111 cost=5963.442785951 artificial=0 nodes=248744 sec=16.752855663
BEST it=112 cost=5958.9060297771 artificial=0 nodes=248751 sec=16.755388658
BEST it=113 cost=5958.230172489 artificial=0 nodes=248789 sec=16.758939011
BEST it=115 cost=5936.5614265266 artificial=0 nodes=249310 sec=16.835291071
BEST it=117 cost=5933.12215986 artificial=0 nodes=249321 sec=16.839372402
BEST it=119 cost=5929.8651250836 artificial=0 nodes=249582 sec=16.861805063
BEST it=120 cost=5924.7876361947 artificial=0 nodes=253583 sec=17.008088647
BEST it=121 cost=5923.3153917503 artificial=0 nodes=254123 sec=17.071066347
BEST it=122 cost=5920.6893917503 artificial=0 nodes=254149 sec=17.096134072
BEST it=123 cost=5920.1069917503 artificial=0 nodes=258150 sec=17.466712033
BEST it=127 cost=5920.0025250836 artificial=0 nodes=258173 sec=17.486686493
BEST it=129 cost=5912.0877806392 artificial=0 nodes=258192 sec=17.489169821
BEST it=133 cost=5911.6037287723 artificial=0 nodes=266219 sec=17.958585912
BEST it=136 cost=5894.8550176612 artificial=0 nodes=268691 sec=18.122898898
BEST it=137 cost=5882.4502065501 artificial=0 nodes=270616 sec=18.389220344
BEST it=140 cost=5881.3038065501 artificial=0 nodes=274705 sec=18.41635197
BEST it=142 cost=5881.1018509945 artificial=0 nodes=278714 sec=18.483809578
BEST it=146 cost=5881.0130145166 artificial=0 nodes=279224 sec=18.528660412
BEST it=150 cost=5878.1325145166 artificial=0 nodes=283247 sec=19.347397754
BEST it=151 cost=5875.9649034054 artificial=0 nodes=283289 sec=19.351577585
BEST it=154 cost=5871.0304660326 artificial=0 nodes=284050 sec=19.478028476
BEST it=155 cost=5870.4954683315 artificial=0 nodes=284070 sec=19.552026738
BEST it=156 cost=5870.4254683315 artificial=0 nodes=284082 sec=19.553918945
BEST it=167 cost=5868.6453149981 artificial=0 nodes=284291 sec=19.587260338
BEST it=169 cost=5866.0322981203 artificial=0 nodes=284615 sec=19.679763256
BEST it=170 cost=5860.9016425648 artificial=0 nodes=285462 sec=19.777709877
BEST it=171 cost=5860.8487536759 artificial=0 nodes=285486 sec=19.783203132
BEST it=180 cost=5860.4672120092 artificial=0 nodes=285612 sec=19.861573312
BEST it=182 cost=5856.9528997559 artificial=0 nodes=290036 sec=20.741289965
BEST it=183 cost=5855.4351664225 artificial=0 nodes=290873 sec=20.786407416
BEST it=186 cost=5854.4748997559 artificial=0 nodes=291271 sec=20.827677631
BEST it=195 cost=5850.1348997559 artificial=0 nodes=297328 sec=21.419344319
BEST it=201 cost=5845.430010867 artificial=0 nodes=301383 sec=21.480036888
